osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1578549141,node,tourism,guest_house,Home Phangnga Guest House,,,8.4603045,98.5297193,,,,,,,,,,,,
1578549142,node,tourism,guest_house,Manora Garden Guest House,,,8.5025968,98.5233943,,,,,,,,,,,,
1578549226,node,amenity,restaurant,,,,8.428808,98.5283735,,,,,,,,,,,,
1578549916,node,tourism,attraction,,Tham San Rock Art,,8.4649247,98.5389675,,,,,,,,,,,,
1578549929,node,tourism,hotel,Rattanapong Hotel,,,8.4657114,98.5311965,,,,,,,,,,,,
1578549936,node,tourism,guest_house,Phang-Nga Guesthouse,,,8.4660549,98.5311965,,,,,,,,,,,,
1578549948,node,tourism,hotel,Thaweesuk Hotel,,,8.4666748,98.5311151,,,,,,,,,,,,
1578549954,node,tourism,hotel,,,,8.469592,98.5303635,,,,,,,,,,,,
1578549986,node,tourism,attraction,,,,8.475891,98.5390628,,,,,,,,,,,,
1578550404,node,amenity,restaurant,ดวง,Duang,,8.465297,98.5309121,,,,,,,,,,,,
1578550414,node,tourism,attraction,เชดียื เฃา ล้าง บาศ,Chedi Khao Lang Bart,,8.4597336,98.5291399,,,,,,,,,,,,
1712618751,node,tourism,guest_house,Phang-nga Inn,,,8.4599457,98.5321498,,,,,,,,,,,,
2985577840,node,tourism,attraction,Wat Suwan Kuha,Monkey temple,Wat Suwahn Khuha,8.4287759,98.4723511,,https://youtu.be/n-knngi2NO0?t=642,,,,,,,,,,
3345719393,node,tourism,hotel,Muang Tong Hotel,,,8.4648215,98.5308408,,,,,,,,,,,no,
3423503711,node,tourism,hotel,Tambai Resort,,ตามบาย รีสอร์ท,8.4741948,98.5336743,,,,,,,,"7/4, Phang Nga, 82000",,,,
3898218899,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,8.4591271,98.5316583,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
3898218909,node,amenity,marketplace,,,,8.4655903,98.5314925,,,,,,,,,,,,
3919826313,node,tourism,hotel,Who-nga,,,8.4207371,98.501094,,,,,,,,,,,,
3919826344,node,amenity,marketplace,,,,8.4236102,98.4685338,,,,,,,,,,,,
3974839923,node,tourism,attraction,City pillar shrine,,,8.4708044,98.5293134,,,,,,,,,,,,
4056496933,node,amenity,restaurant,Baan Phangnga,,,8.4657215,98.5310262,,,,,,,,,,,,
4236929689,node,amenity,fast_food,KFC,,,8.4310018,98.5197833,,,,,,,Mo-Su 09:30-21:00,,,chicken,,
